match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR,
T203878,Super Kings Vs Mumbai,Super Kings,1,RuturajGaikwad,out,7,6,1,0,116.66,
T203878,Super Kings Vs Mumbai,Super Kings,2,DevonConway,out,0,1,0,0,0,
T203878,Super Kings Vs Mumbai,Super Kings,3,MoeenAli,out,0,2,0,0,0,
T203878,Super Kings Vs Mumbai,Super Kings,4,RobinUthappa,out,1,6,0,0,16.66,
T203878,Super Kings Vs Mumbai,Super Kings,5,AmbatiRayudu,out,10,14,2,0,71.42,
T203878,Super Kings Vs Mumbai,Super Kings,6,MSDhoni,not_out,36,33,4,2,109.09,
T203878,Super Kings Vs Mumbai,Super Kings,7,ShivamDube,out,10,9,1,0,111.11,
T203878,Super Kings Vs Mumbai,Super Kings,8,DwayneBravo,out,12,15,0,1,80,
T203878,Super Kings Vs Mumbai,Super Kings,9,SimarjeetSingh,out,2,3,0,0,66.66,
T203878,Super Kings Vs Mumbai,Super Kings,10,MaheeshTheekshana,out,0,3,0,0,0,
T203878,Super Kings Vs Mumbai,Super Kings,11,MukeshChoudhary,out,4,4,1,0,100,
T203878,Super Kings Vs Mumbai,Mumbai,1,IshanKishan,out,6,5,1,0,120,
T203878,Super Kings Vs Mumbai,Mumbai,2,RohitSharma,out,18,14,4,0,128.57,
T203878,Super Kings Vs Mumbai,Mumbai,3,DanielSams,out,1,6,0,0,16.66,
T203878,Super Kings Vs Mumbai,Mumbai,4,TilakVarma,not_out,34,32,4,0,106.25,
T203878,Super Kings Vs Mumbai,Mumbai,5,TristanStubbs,out,0,2,0,0,0,
T203878,Super Kings Vs Mumbai,Mumbai,6,HrithikShokeen,out,18,23,2,0,78.26,
T203878,Super Kings Vs Mumbai,Mumbai,7,TimDavid,not_out,16,7,0,2,228.57,
T201826,Royals Vs Capitals,Royals,1,YashasviJaiswal,out,19,19,1,1,100,
T201826,Royals Vs Capitals,Royals,2,JosButtler,out,7,11,1,0,63.63,
T201826,Royals Vs Capitals,Royals,3,RavichandranAshwin,out,50,38,4,2,131.57,
T201826,Royals Vs Capitals,Royals,4,DevduttPadikkal,out,48,30,6,2,160,
T201826,Royals Vs Capitals,Royals,5,SanjuSamson,out,6,4,1,0,150,
T201826,Royals Vs Capitals,Royals,6,RiyanParag,out,9,5,0,1,180,
T201826,Royals Vs Capitals,Royals,7,RassievanderDussen,not_out,12,10,1,0,120,
T201826,Royals Vs Capitals,Royals,8,TrentBoult,not_out,3,3,0,0,100,
T201826,Royals Vs Capitals,Capitals,1,SrikarBharat,out,0,2,0,0,0,
T201826,Royals Vs Capitals,Capitals,2,DavidWarner,not_out,52,41,5,1,126.82,
T201826,Royals Vs Capitals,Capitals,3,MitchellMarsh,out,89,62,5,7,143.54,
T201826,Royals Vs Capitals,Capitals,4,RishabhPant,not_out,13,4,0,2,325,
T207400,Titans Vs Super Giants,Titans,1,WriddhimanSaha,out,5,11,1,0,45.45,
T207400,Titans Vs Super Giants,Titans,2,ShubmanGill,not_out,63,49,7,0,128.57,
T207400,Titans Vs Super Giants,Titans,3,MatthewWade,out,10,7,2,0,142.85,
T207400,Titans Vs Super Giants,Titans,4,HardikPandya,out,11,13,0,0,84.61,
T207400,Titans Vs Super Giants,Titans,5,DavidMiller,out,26,24,1,1,108.33,
T207400,Titans Vs Super Giants,Titans,6,RahulTewatia,not_out,22,16,4,0,137.5,
T207400,Titans Vs Super Giants,Super Giants,1,QuintondeKock,out,11,10,0,1,110,
T207400,Titans Vs Super Giants,Super Giants,2,KLRahul,out,8,16,1,0,50,
T207400,Titans Vs Super Giants,Super Giants,3,DeepakHooda,out,27,26,3,0,103.84,
T207400,Titans Vs Super Giants,Super Giants,4,KaranSharma,out,4,4,1,0,100,
T207400,Titans Vs Super Giants,Super Giants,5,KrunalPandya,out,5,5,1,0,100,
T207400,Titans Vs Super Giants,Super Giants,6,AyushBadoni,out,8,11,1,0,72.72,
T207400,Titans Vs Super Giants,Super Giants,7,MarcusStoinis,out,2,2,0,0,100,
T207400,Titans Vs Super Giants,Super Giants,8,JasonHolder,out,1,2,0,0,50,
T207400,Titans Vs Super Giants,Super Giants,9,MohsinKhan,out,1,3,0,0,33.33,
T207400,Titans Vs Super Giants,Super Giants,10,DushmanthaChameera,not_out,0,0,0,0,-,
T207400,Titans Vs Super Giants,Super Giants,11,AveshKhan,out,12,4,0,2,300,
T203087,KKR Vs Mumbai,KKR,1,VenkateshIyer,out,43,24,3,4,179.16,
T203087,KKR Vs Mumbai,KKR,2,AjinkyaRahane,out,25,24,3,0,104.16,
T203087,KKR Vs Mumbai,KKR,3,NitishRana,out,43,26,3,4,165.38,
T203087,KKR Vs Mumbai,KKR,4,ShreyasIyer,out,6,8,1,0,75,
T203087,KKR Vs Mumbai,KKR,5,AndreRussell,out,9,5,0,1,180,
T203087,KKR Vs Mumbai,KKR,6,RinkuSingh,not_out,23,19,2,1,121.05,
T203087,KKR Vs Mumbai,KKR,7,SheldonJackson,out,5,7,0,0,71.42,
T203087,KKR Vs Mumbai,KKR,8,PatCummins,out,0,2,0,0,0,
T203087,KKR Vs Mumbai,KKR,9,SunilNarine,out,0,1,0,0,0,
T203087,KKR Vs Mumbai,KKR,10,TimSouthee,out,0,4,0,0,0,
T203087,KKR Vs Mumbai,KKR,11,VarunChakravarthy,not_out,0,0,0,0,-,
T203087,KKR Vs Mumbai,Mumbai,1,RohitSharma,out,2,6,0,0,33.33,
T203087,KKR Vs Mumbai,Mumbai,2,IshanKishan,out,51,43,5,1,118.6,
T203087,KKR Vs Mumbai,Mumbai,3,TilakVarma,out,6,5,1,0,120,
T203087,KKR Vs Mumbai,Mumbai,4,RamandeepSingh,out,12,16,0,0,75,
T203087,KKR Vs Mumbai,Mumbai,5,TimDavid,out,13,9,3,0,144.44,
T203087,KKR Vs Mumbai,Mumbai,6,KieronPollard,out,15,16,0,1,93.75,
T203087,KKR Vs Mumbai,Mumbai,7,DanielSams,out,1,2,0,0,50,
T203087,KKR Vs Mumbai,Mumbai,8,MuruganAshwin,out,0,2,0,0,0,
T203087,KKR Vs Mumbai,Mumbai,9,KumarKartikeya,out,3,5,0,0,60,
T203087,KKR Vs Mumbai,Mumbai,10,JaspritBumrah,out,0,0,0,0,-,
T203087,KKR Vs Mumbai,Mumbai,11,RileyMeredith,not_out,0,1,0,0,0,
T205352,Super Kings Vs Capitals,Super Kings,1,RuturajGaikwad,out,41,33,4,1,124.24,
T205352,Super Kings Vs Capitals,Super Kings,2,DevonConway,out,87,49,7,5,177.55,
T205352,Super Kings Vs Capitals,Super Kings,3,ShivamDube,out,32,19,2,2,168.42,
T205352,Super Kings Vs Capitals,Super Kings,4,AmbatiRayudu,out,5,6,1,0,83.33,
T205352,Super Kings Vs Capitals,Super Kings,5,MSDhoni,not_out,21,8,1,2,262.5,
T205352,Super Kings Vs Capitals,Super Kings,6,MoeenAli,out,9,4,2,0,225,
T205352,Super Kings Vs Capitals,Super Kings,7,RobinUthappa,out,0,1,0,0,0,
T205352,Super Kings Vs Capitals,Super Kings,8,DwayneBravo,not_out,1,1,0,0,100,
T205352,Super Kings Vs Capitals,Capitals,1,DavidWarner,out,19,12,1,2,158.33,
T205352,Super Kings Vs Capitals,Capitals,2,SrikarBharat,out,8,5,2,0,160,
T205352,Super Kings Vs Capitals,Capitals,3,MitchellMarsh,out,25,20,3,1,125,
T205352,Super Kings Vs Capitals,Capitals,4,RishabhPant,out,21,11,4,0,190.9,
T205352,Super Kings Vs Capitals,Capitals,5,RovmanPowell,out,3,9,0,0,33.33,
T205352,Super Kings Vs Capitals,Capitals,6,RipalPatel,out,6,3,0,1,200,
T205352,Super Kings Vs Capitals,Capitals,7,AxarPatel,out,1,3,0,0,33.33,
T205352,Super Kings Vs Capitals,Capitals,8,ShardulThakur,out,24,19,2,1,126.31,
T205352,Super Kings Vs Capitals,Capitals,9,KuldeepYadav,out,5,17,0,0,29.41,
T205352,Super Kings Vs Capitals,Capitals,10,AnrichNortje,not_out,1,6,0,0,16.66,
T205352,Super Kings Vs Capitals,Capitals,11,KhaleelAhmed,out,0,1,0,0,0,
T207464,RCB Vs Sunrisers,RCB,1,ViratKohli,out,0,1,0,0,0,
T207464,RCB Vs Sunrisers,RCB,2,FafduPlessis,not_out,73,50,8,2,146,
T207464,RCB Vs Sunrisers,RCB,3,RajatPatidar,out,48,38,4,2,126.31,
T207464,RCB Vs Sunrisers,RCB,4,GlennMaxwell,out,33,24,3,2,137.5,
T207464,RCB Vs Sunrisers,RCB,5,DineshKarthik,not_out,30,8,1,4,375,
T207464,RCB Vs Sunrisers,Sunrisers,1,AbhishekSharma,out,0,3,0,0,0,
T207464,RCB Vs Sunrisers,Sunrisers,2,KaneWilliamson,out,0,0,0,0,-,
T207464,RCB Vs Sunrisers,Sunrisers,3,RahulTripathi,out,58,37,6,2,156.75,
T207464,RCB Vs Sunrisers,Sunrisers,4,AidenMarkram,out,21,27,1,1,77.77,
T207464,RCB Vs Sunrisers,Sunrisers,5,NicholasPooran,out,19,14,2,1,135.71,
T207464,RCB Vs Sunrisers,Sunrisers,6,JagadeeshaSuchith,out,2,7,0,0,28.57,
T207464,RCB Vs Sunrisers,Sunrisers,7,ShashankSingh,out,8,9,0,1,88.88,
T207464,RCB Vs Sunrisers,Sunrisers,8,KartikTyagi,out,0,1,0,0,0,
T207464,RCB Vs Sunrisers,Sunrisers,9,BhuvneshwarKumar,out,8,9,1,0,88.88,
T207464,RCB Vs Sunrisers,Sunrisers,10,UmranMalik,out,0,1,0,0,0,
T207464,RCB Vs Sunrisers,Sunrisers,11,FazalhaqFarooqi,not_out,2,8,0,0,25,
T204710,Super Giants Vs KKR,Super Giants,1,QuintondeKock,out,50,29,4,3,172.41,
T204710,Super Giants Vs KKR,Super Giants,2,KLRahul,out,0,0,0,0,-,
T204710,Super Giants Vs KKR,Super Giants,3,DeepakHooda,out,41,27,4,2,151.85,
T204710,Super Giants Vs KKR,Super Giants,4,KrunalPandya,out,25,27,2,0,92.59,
T204710,Super Giants Vs KKR,Super Giants,5,AyushBadoni,not_out,15,18,0,0,83.33,
T204710,Super Giants Vs KKR,Super Giants,6,MarcusStoinis,out,28,14,1,3,200,
T204710,Super Giants Vs KKR,Super Giants,7,JasonHolder,out,13,4,0,2,325,
T204710,Super Giants Vs KKR,Super Giants,8,DushmanthaChameera,out,0,1,0,0,0,
T204710,Super Giants Vs KKR,KKR,1,BabaIndrajith,out,0,6,0,0,0,
T204710,Super Giants Vs KKR,KKR,2,AaronFinch,out,14,14,1,0,100,
T204710,Super Giants Vs KKR,KKR,3,ShreyasIyer,out,6,9,1,0,66.66,
T204710,Super Giants Vs KKR,KKR,4,NitishRana,out,2,11,0,0,18.18,
T204710,Super Giants Vs KKR,KKR,5,RinkuSingh,out,6,10,0,0,60,
T204710,Super Giants Vs KKR,KKR,6,AndreRussell,out,45,19,3,5,236.84,
T204710,Super Giants Vs KKR,KKR,7,SunilNarine,out,22,12,3,1,183.33,
T204710,Super Giants Vs KKR,KKR,8,AnukulRoy,out,0,2,0,0,0,
T204710,Super Giants Vs KKR,KKR,9,ShivamMavi,not_out,1,2,0,0,50,
T204710,Super Giants Vs KKR,KKR,10,TimSouthee,out,0,1,0,0,0,
T204710,Super Giants Vs KKR,KKR,11,HarshitRana,out,2,1,0,0,200,
T201231,Punjab Kings Vs Royals,Punjab Kings,1,JonnyBairstow,out,56,40,8,1,140,
T201231,Punjab Kings Vs Royals,Punjab Kings,2,ShikharDhawan,out,12,16,2,0,75,
T201231,Punjab Kings Vs Royals,Punjab Kings,3,BhanukaRajapaksa,out,27,18,2,2,150,
T201231,Punjab Kings Vs Royals,Punjab Kings,4,MayankAgarwal,out,15,13,2,0,115.38,
T201231,Punjab Kings Vs Royals,Punjab Kings,5,JiteshSharma,not_out,38,18,4,2,211.11,
T201231,Punjab Kings Vs Royals,Punjab Kings,6,LiamLivingstone,out,22,14,1,2,157.14,
T201231,Punjab Kings Vs Royals,Punjab Kings,7,RishiDhawan,not_out,5,2,1,0,250,
T201231,Punjab Kings Vs Royals,Royals,1,YashasviJaiswal,out,68,41,9,2,165.85,
T201231,Punjab Kings Vs Royals,Royals,2,JosButtler,out,30,16,5,1,187.5,
T201231,Punjab Kings Vs Royals,Royals,3,SanjuSamson,out,23,12,4,0,191.66,
T201231,Punjab Kings Vs Royals,Royals,4,DevduttPadikkal,out,31,32,3,0,96.87,
T201231,Punjab Kings Vs Royals,Royals,5,ShimronHetmyer,not_out,31,16,3,2,193.75,
T201231,Punjab Kings Vs Royals,Royals,6,RiyanParag,not_out,0,1,0,0,0,
T201720,Mumbai Vs Titans,Mumbai,1,IshanKishan,out,45,29,5,1,155.17,
T201720,Mumbai Vs Titans,Mumbai,2,RohitSharma,out,43,28,5,2,153.57,
T201720,Mumbai Vs Titans,Mumbai,3,SuryakumarYadav,out,13,11,0,1,118.18,
T201720,Mumbai Vs Titans,Mumbai,4,TilakVarma,out,21,16,2,0,131.25,
T201720,Mumbai Vs Titans,Mumbai,5,KieronPollard,out,4,14,0,0,28.57,
T201720,Mumbai Vs Titans,Mumbai,6,TimDavid,not_out,44,21,2,4,209.52,
T201720,Mumbai Vs Titans,Mumbai,7,DanielSams,out,0,2,0,0,0,
T201720,Mumbai Vs Titans,Mumbai,8,MuruganAshwin,not_out,0,0,0,0,-,
T201720,Mumbai Vs Titans,Titans,1,WriddhimanSaha,out,55,40,6,2,137.5,
T201720,Mumbai Vs Titans,Titans,2,ShubmanGill,out,52,36,6,2,144.44,
T201720,Mumbai Vs Titans,Titans,3,HardikPandya,out,24,14,4,0,171.42,
T201720,Mumbai Vs Titans,Titans,4,SaiSudharsan,out,14,11,1,1,127.27,
T201720,Mumbai Vs Titans,Titans,5,DavidMiller,not_out,19,14,1,1,135.71,
T201720,Mumbai Vs Titans,Titans,6,RahulTewatia,out,3,4,0,0,75,
T201720,Mumbai Vs Titans,Titans,7,RashidKhan,not_out,1,1,0,0,100,
T201248,Capitals Vs Sunrisers,Capitals,1,MandeepSingh,out,0,5,0,0,0,
T201248,Capitals Vs Sunrisers,Capitals,2,DavidWarner,not_out,92,58,12,3,158.62,
T201248,Capitals Vs Sunrisers,Capitals,3,MitchellMarsh,out,10,7,2,0,142.85,
T201248,Capitals Vs Sunrisers,Capitals,4,RishabhPant,out,26,16,1,3,162.5,
T201248,Capitals Vs Sunrisers,Capitals,5,RovmanPowell,not_out,67,35,3,6,191.42,
T201248,Capitals Vs Sunrisers,Sunrisers,1,AbhishekSharma,out,7,6,1,0,116.66,
T201248,Capitals Vs Sunrisers,Sunrisers,2,KaneWilliamson,out,4,11,1,0,36.36,
T201248,Capitals Vs Sunrisers,Sunrisers,3,RahulTripathi,out,22,18,2,1,122.22,
T201248,Capitals Vs Sunrisers,Sunrisers,4,AidenMarkram,out,42,25,4,3,168,
T201248,Capitals Vs Sunrisers,Sunrisers,5,NicholasPooran,out,62,34,2,6,182.35,
T201248,Capitals Vs Sunrisers,Sunrisers,6,ShashankSingh,out,10,6,2,0,166.66,
T201248,Capitals Vs Sunrisers,Sunrisers,7,SeanAbbott,out,7,5,0,1,140,
T201248,Capitals Vs Sunrisers,Sunrisers,8,ShreyasGopal,not_out,9,7,2,0,128.57,
T201248,Capitals Vs Sunrisers,Sunrisers,9,KartikTyagi,out,7,5,1,0,140,
T201248,Capitals Vs Sunrisers,Sunrisers,10,BhuvneshwarKumar,not_out,5,3,1,0,166.66,
T207511,RCB Vs Super Kings,RCB,1,ViratKohli,out,30,33,3,1,90.9,
T207511,RCB Vs Super Kings,RCB,2,FafduPlessis,out,38,22,4,1,172.72,
T207511,RCB Vs Super Kings,RCB,3,GlennMaxwell,out,3,3,0,0,100,
T207511,RCB Vs Super Kings,RCB,4,MahipalLomror,out,42,27,3,2,155.55,
T207511,RCB Vs Super Kings,RCB,5,RajatPatidar,out,21,15,1,1,140,
T207511,RCB Vs Super Kings,RCB,6,DineshKarthik,not_out,26,17,1,2,152.94,
T207511,RCB Vs Super Kings,RCB,7,WaninduHasaranga,out,0,1,0,0,0,
T207511,RCB Vs Super Kings,RCB,8,ShahbazAhmed,out,1,2,0,0,50,
T207511,RCB Vs Super Kings,RCB,9,HarshalPatel,out,0,0,0,0,-,
T207511,RCB Vs Super Kings,RCB,10,MohammedSiraj,not_out,0,0,0,0,-,
T207511,RCB Vs Super Kings,Super Kings,1,RuturajGaikwad,out,28,23,3,1,121.73,
T207511,RCB Vs Super Kings,Super Kings,2,DevonConway,out,56,37,6,2,151.35,
T207511,RCB Vs Super Kings,Super Kings,3,RobinUthappa,out,1,3,0,0,33.33,
T207511,RCB Vs Super Kings,Super Kings,4,AmbatiRayudu,out,10,8,0,1,125,
T207511,RCB Vs Super Kings,Super Kings,5,MoeenAli,out,34,27,2,2,125.92,
T207511,RCB Vs Super Kings,Super Kings,6,RavindraJadeja,out,3,5,0,0,60,
