match_id,match,bowlingTeam,bowlerName,overs,balls,maiden,runs,wickets,economy,0s,wides,noBalls,matchDate,
T201512,Super Kings Vs KKR,KKR,UmeshYadav,4,24,0,20,2,5,15,2,1,3/26/2022,
T201512,Super Kings Vs KKR,KKR,ShivamMavi,4,24,0,35,0,8.75,12,1,1,3/26/2022,
T201512,Super Kings Vs KKR,KKR,VarunChakravarthy,4,24,0,23,1,5.75,11,1,0,3/26/2022,
T201512,Super Kings Vs KKR,KKR,SunilNarine,4,24,0,15,0,3.75,10,0,0,3/26/2022,
T201512,Super Kings Vs KKR,KKR,AndreRussell,4,24,0,38,1,9.5,7,0,0,3/26/2022,
T201512,Super Kings Vs KKR,Super Kings,TusharDeshpande,3,18,0,23,0,7.66,9,0,0,3/26/2022,
T201512,Super Kings Vs KKR,Super Kings,AdamMilne,2.3,13.8,0,19,0,7.6,9,0,0,3/26/2022,
T201512,Super Kings Vs KKR,Super Kings,MitchellSantner,4,24,0,31,1,7.75,5,0,0,3/26/2022,
T201512,Super Kings Vs KKR,Super Kings,DwayneBravo,4,24,0,20,3,5,11,0,0,3/26/2022,
T201512,Super Kings Vs KKR,Super Kings,ShivamDube,1,6,0,11,0,11,1,0,0,3/26/2022,
T201512,Super Kings Vs KKR,Super Kings,RavindraJadeja,4,24,0,25,0,6.25,8,0,0,3/26/2022,
T208141,RCB Vs Punjab Kings,Punjab Kings,SandeepSharma,4,24,0,37,0,9.25,10,0,0,3/27/2022,
T208141,RCB Vs Punjab Kings,Punjab Kings,ArshdeepSingh,4,24,0,31,1,7.75,11,3,0,3/27/2022,
T208141,RCB Vs Punjab Kings,Punjab Kings,OdeanSmith,4,24,0,52,0,13,9,1,0,3/27/2022,
T208141,RCB Vs Punjab Kings,Punjab Kings,RahulChahar,4,24,0,22,1,5.5,8,1,0,3/27/2022,
T208141,RCB Vs Punjab Kings,Punjab Kings,HarpreetBrar,3,18,0,38,0,12.66,5,1,0,3/27/2022,
T208141,RCB Vs Punjab Kings,Punjab Kings,LiamLivingstone,1,6,0,14,0,14,1,1,0,3/27/2022,
T208141,RCB Vs Punjab Kings,RCB,DavidWilley,3,18,0,28,0,9.33,5,0,0,3/27/2022,
T208141,RCB Vs Punjab Kings,RCB,MohammedSiraj,4,24,0,59,2,14.75,9,6,0,3/27/2022,
T208141,RCB Vs Punjab Kings,RCB,ShahbazAhmed,1,6,0,6,0,6,3,0,0,3/27/2022,
T208141,RCB Vs Punjab Kings,RCB,AkashDeep,3,18,0,38,1,12.66,4,0,0,3/27/2022,
T208141,RCB Vs Punjab Kings,RCB,WaninduHasaranga,4,24,0,40,1,10,10,1,0,3/27/2022,
T208141,RCB Vs Punjab Kings,RCB,HarshalPatel,4,24,0,36,1,9,10,5,0,3/27/2022,
T205838,Mumbai Vs Capitals,Capitals,ShardulThakur,4,24,0,47,0,11.75,8,1,0,3/27/2022,
T205838,Mumbai Vs Capitals,Capitals,KhaleelAhmed,4,24,0,27,2,6.75,13,0,0,3/27/2022,
T205838,Mumbai Vs Capitals,Capitals,AxarPatel,4,24,0,40,0,10,3,0,0,3/27/2022,
T205838,Mumbai Vs Capitals,Capitals,KamleshNagarkoti,2,12,0,29,0,14.5,4,1,0,3/27/2022,
T205838,Mumbai Vs Capitals,Capitals,KuldeepYadav,4,24,0,18,3,4.5,8,0,0,3/27/2022,
T205838,Mumbai Vs Capitals,Capitals,LalitYadav,2,12,0,15,0,7.5,2,0,0,3/27/2022,
T205838,Mumbai Vs Capitals,Mumbai,DanielSams,4,24,0,57,0,14.25,4,2,0,3/27/2022,
T205838,Mumbai Vs Capitals,Mumbai,JaspritBumrah,3.2,19.2,0,43,0,12.9,4,0,0,3/27/2022,
T205838,Mumbai Vs Capitals,Mumbai,BasilThampi,4,24,0,35,3,8.75,11,3,0,3/27/2022,
T205838,Mumbai Vs Capitals,Mumbai,MuruganAshwin,4,24,0,14,2,3.5,14,0,0,3/27/2022,
T205838,Mumbai Vs Capitals,Mumbai,TymalMills,3,18,0,26,1,8.66,6,2,0,3/27/2022,
T202349,Super Giants Vs Titans,Titans,MohammedShami,4,24,0,25,3,6.25,13,0,0,3/28/2022,
T202349,Super Giants Vs Titans,Titans,VarunAaron,4,24,0,45,2,11.25,5,3,0,3/28/2022,
T202349,Super Giants Vs Titans,Titans,LockieFerguson,4,24,0,24,0,6,11,1,0,3/28/2022,
T202349,Super Giants Vs Titans,Titans,HardikPandya,4,24,0,37,0,9.25,10,0,0,3/28/2022,
T202349,Super Giants Vs Titans,Titans,RashidKhan,4,24,0,27,1,6.75,8,0,0,3/28/2022,
T202349,Super Giants Vs Titans,Super Giants,DushmanthaChameera,3,18,0,22,2,7.33,11,1,0,3/28/2022,
T202349,Super Giants Vs Titans,Super Giants,AveshKhan,3.4,20.4,0,33,1,9,10,0,0,3/28/2022,
T202349,Super Giants Vs Titans,Super Giants,MohsinKhan,2,12,0,18,0,9,4,0,0,3/28/2022,
T202349,Super Giants Vs Titans,Super Giants,RaviBishnoi,4,24,0,34,0,8.5,11,2,0,3/28/2022,
