team1,team2,winner,margin,matchDate,match_id
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Super Kings,KKR,KKR,6 wickets,3/26/2022,T201512
RCB,Punjab Kings,Punjab Kings,5 wickets,3/27/2022,T208141
Mumbai,Capitals,Capitals,4 wickets,3/27/2022,T205838
Super Giants,Titans,Titans,5 wickets,3/28/2022,T202349
Royals,Sunrisers,Royals,61 runs,3/29/2022,T205314
KKR,RCB,RCB,3 wickets,3/30/2022,T203578
Super Kings,Super Giants,Super Giants,6 wickets,3/31/2022,T207058
Punjab Kings,KKR,KKR,6 wickets,04-01-2022,T203227
Titans,Capitals,Titans,14 runs,04-02-2022,T205181
Royals,Mumbai,Royals,23 runs,04-02-2022,T209847
Punjab Kings,Super Kings,Punjab Kings,54 runs,04-03-2022,T206118
Super Giants,Sunrisers,Super Giants,12 runs,04-04-2022,T204825
Royals,RCB,RCB,4 wickets,04-05-2022,T203456
Mumbai,KKR,KKR,5 wickets,04-06-2022,T207856
Capitals,Super Giants,Super Giants,6 wickets,04-07-2022,T204296
Punjab Kings,Titans,Titans,6 wickets,04-08-2022,T202634
Mumbai,RCB,RCB,7 wickets,04-09-2022,T204746
Super Kings,Sunrisers,Sunrisers,8 wickets,04-09-2022,T209199
Royals,Super Giants,Royals,3 runs,04-10-2022,T207999
Capitals,KKR,Capitals,44 runs,04-10-2022,T208705
Titans,Sunrisers,Sunrisers,8 wickets,04-11-2022,T208211
Super Kings,RCB,Super Kings,23 runs,04-12-2022,T203601
Punjab Kings,Mumbai,Punjab Kings,12 runs,4/13/2022,T208002
Titans,Royals,Titans,37 runs,4/14/2022,T207043
KKR,Sunrisers,Sunrisers,7 wickets,4/15/2022,T208105
RCB,Capitals,RCB,16 runs,4/16/2022,T205793
Super Giants,Mumbai,Super Giants,18 runs,4/16/2022,T204555
Super Kings,Titans,Titans,3 wickets,4/17/2022,T206030
Punjab Kings,Sunrisers,Sunrisers,7 wickets,4/17/2022,T208958
Royals,KKR,Royals,7 runs,4/18/2022,T206892
RCB,Super Giants,RCB,18 runs,4/19/2022,T204535
Punjab Kings,Capitals,Capitals,9 wickets,4/20/2022,T203741
Mumbai,Super Kings,Super Kings,3 wickets,4/21/2022,T202326
Royals,Capitals,Royals,15 runs,4/22/2022,T206421
