name,team,battingStyle,bowlingStyle,playingRole
RuturajGaikwad,Chennai super kings,Right hand Bat,Right arm Offbreak,Batter
FafduPlessis,Chennai super kings,Right hand Bat,Legbreak,Middle order Batter
RobinUthappa,Chennai super kings,Right hand Bat,Right arm Medium,Batter
MoeenAli,Chennai super kings,Left hand Bat,Right arm Offbreak,Batting Allrounder
ShubmanGill,Kolkata Knight Riders,Right hand Bat,Right arm Offbreak,Opening Batter
VenkateshIyer,Kolkata Knight Riders,Left hand Bat,Right arm Medium,Allrounder
NitishRana,Kolkata Knight Riders,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
SunilNarine,Kolkata Knight Riders,Left hand Bat,Right arm Offbreak,Bowling Allrounder
EoinMorgan,Kolkata Knight Riders,Left hand Bat,Right arm Medium,Middle order Batter
DineshKarthik,Kolkata Knight Riders,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
ShakibAlHasan,Kolkata Knight Riders,Left hand Bat,Slow Left arm Orthodox,Allrounder
RahulTripathi,Kolkata Knight Riders,Right hand Bat,Right arm Medium,Top order Batter
LockieFerguson,Kolkata Knight Riders,Right hand Bat,Right arm Fast,Bowler
ShivamMavi,Kolkata Knight Riders,Right hand Bat,Right arm Fast medium,Bowler
VarunChakravarthy,Kolkata Knight Riders,Right hand Bat,Legbreak Googly,Bowler
DeepakChahar,Chennai super kings,Right hand Bat,Right arm Medium,Bowler
JoshHazlewood,Chennai super kings,Left hand Bat,Right arm Fast medium,Bowler
ShardulThakur,Chennai super kings,Right hand Bat,Right arm Medium,Bowler
DwayneBravo,Chennai super kings,Right hand Bat,Right arm Medium,Allrounder
RavindraJadeja,Chennai super kings,Left hand Bat,Slow Left arm Orthodox,Allrounder
PrithviShaw,Delhi Capitals,Right hand Bat,Right arm Offbreak,Opening Batter
ShikharDhawan,Delhi Capitals,Left hand Bat,Right arm Offbreak,Opening Batter
MarcusStoinis,Delhi Capitals,Right hand Bat,Right arm Medium,Batting Allrounder
ShreyasIyer,Delhi Capitals,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
RishabhPant,Delhi Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
ShimronHetmyer,Delhi Capitals,Left hand Bat,Not Available,Top order Batter
AxarPatel,Delhi Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
AnrichNortje,Delhi Capitals,Right hand Bat,Right arm Fast,Bowler
RavichandranAshwin,Delhi Capitals,Right hand Bat,Right arm Offbreak,Bowling Allrounder
AveshKhan,Delhi Capitals,Right hand Bat,Right arm Fast medium,Bowler
KagisoRabada,Delhi Capitals,Left hand Bat,Right arm Fast,Bowler
DevduttPadikkal,Royal Challengers Bengaluru,Left hand Bat,Right arm Offbreak,Top order Batter
